,target
2499,49414
2500,58293
2501,70382
2502,57898
2503,58172
2504,87166
2505,79021
2506,89125
2507,79457
2508,79640
2509,56696
2510,66795
2511,62931
2512,62729
2513,63529
2514,63529
2515,14901
2516,15040
2517,13549
2518,54009
2519,37534
2520,52774
2521,58446
2522,66491
2523,65587
2524,66433
2525,76730
2526,56314
2527,64334
2528,63349
2529,11660
2530,66731
2531,50571
2532,61737
2533,52644
2534,61014
2535,52465
2536,94967
2537,62705
2538,71002
2539,96160
2540,100391
2541,100327
2542,100327
2543,113864
2544,99803
2545,78655
2546,113137
2547,73163
2548,80156
2549,79732
2550,124503
2551,102226
2552,80781
2553,124455
2554,101709
2555,78881
2556,121947
2557,78955
2558,81117
2559,78891
2560,102305
2561,78963
2562,101841
2563,79589
2564,127710
2565,93081
2566,153061
2567,153949
2568,152399
2569,129826
2570,131023
2571,166120
2572,110557
2573,108631
2574,108754
2575,138081
2576,88186
2577,88411
2578,107641
2579,107261
2580,141016
2581,81380
2582,81935
2583,91846
2584,91686
2585,159898
2586,114525
2587,160254
2588,91686
2589,117323
2590,71307
2591,52440
2592,73949
2593,32062
2594,87919
2595,87609
2596,77306
2597,88594
2598,84596
2599,87923
2600,72709
2601,83102
2602,70547
2603,37575
2604,36530
2605,80722
2606,54232
2607,55258
2608,46773
2609,63378
2610,63569
2611,51397
2612,63979
2613,51138
2614,63696
2615,45932
2616,45352
2617,65956
2618,58103
2619,62184
2620,65956
2621,8321
2622,59526
2623,69810
2624,40377
2625,43489
2626,41401
2627,57877
2628,57932
2629,74057
2630,64322
2631,64322
2632,61610
2633,61610
2634,59059
2635,58296
2636,54113
2637,75979
2638,66669
2639,72481
2640,76146
2641,79915
2642,85953
2643,89778
2644,85627
2645,12846
2646,12377
2647,15873
2648,62008
2649,99022
2650,46600
2651,47752
2652,98912
2653,98777
2654,35269
2655,53270
2656,49062
2657,27371
2658,27534
2659,28575
2660,47414
2661,68403
2662,26283
2663,26967
2664,27265
2665,53101
2666,32573
2667,77116
2668,81575
2669,62448
2670,44363
2671,44807
2672,44382
2673,54980
2674,54105
2675,43010
2676,44716
2677,52595
2678,44064
2679,64464
2680,50800
2681,54867
2682,44162
2683,44363
2684,44162
2685,44382
2686,64715
2687,44363
2688,44064
2689,39578
2690,52595
2691,44626
2692,54845
2693,53751
2694,44015
2695,44064
2696,55815
2697,44382
2698,44363
2699,62102
2700,44064
2701,55245
2702,44818
2703,37827
2704,34387
2705,34909
2706,34909
2707,31679
2708,60154
2709,60948
2710,51426
2711,64404
2712,51353
2713,50005
2714,41323
2715,51959
2716,51667
2717,58734
2718,51454
2719,51325
2720,58734
2721,50981
2722,39260
2723,28917
2724,44029
2725,45840
2726,46091
2727,45379
2728,33236
2729,60571
2730,58267
2731,47150
2732,58267
2733,59736
2734,58884
2735,8772
2736,49573
2737,53952
2738,34985
2739,39312
2740,38686
2741,32862
2742,16558
2743,60843
2744,50276
2745,49735
2746,53825
2747,49209
2748,63737
2749,71023
2750,50975
2751,61379
2752,47866
2753,72962
2754,53642
2755,52783
2756,87326
2757,15348
2758,40882
2759,43604
2760,52687
2761,40882
2762,42578
2763,38791
2764,51352
2765,43452
2766,53359
2767,42027
2768,47221
2769,36840
2770,75661
2771,40131
2772,43683
2773,41585
2774,64617
2775,43420
2776,75553
2777,42103
2778,48002
2779,35213
2780,38149
2781,34470
2782,46579
2783,38934
2784,48036
2785,39367
2786,48111
2787,34754
2788,63025
2789,44161
2790,69885
2791,53696
2792,55186
2793,69822
2794,69833
2795,9955
2796,8886
2797,6267
2798,57100
2799,48489
2800,48468
2801,48098
2802,48098
2803,48861
2804,48489
2805,43612
2806,46984
2807,48098
2808,52252
2809,51184
2810,49939
2811,12851
2812,11607
2813,54253
2814,60926
2815,57600
2816,46877
2817,68341
2818,82784
2819,49767
2820,48252
2821,49767
2822,43333
2823,63276
2824,64242
2825,38555
2826,38555
2827,40977
2828,49302
2829,38203
2830,38203
2831,45741
2832,73018
2833,79968
2834,60553
2835,48148
2836,46825
2837,37854
2838,89443
2839,74936
2840,74778
2841,86155
2842,85680
2843,88889
2844,87132
2845,87132
2846,90033
2847,117694
2848,105089
2849,105504
2850,105424
2851,118350
2852,87286
2853,27628
2854,32339
2855,34292
2856,40866
2857,34600
2858,33946
2859,27994
2860,28235
2861,33920
2862,34244
2863,34600
2864,30840
2865,26710
2866,33806
2867,34560
2868,34389
2869,27419
2870,33207
2871,56662
2872,87257
2873,78820
2874,78864
2875,79846
2876,51894
2877,41034
2878,51197
2879,41309
2880,49560
2881,49690
2882,50109
2883,50088
2884,41501
2885,48294
2886,50171
2887,38499
2888,51390
2889,38499
2890,50201
2891,91991
2892,64973
2893,79823
2894,79850
2895,79669
2896,79885
2897,59700
2898,57520
2899,50599
2900,44632
2901,72119
2902,95290
2903,72325
2904,96978
2905,72119
2906,72325
2907,73476
2908,95769
2909,69099
2910,71852
2911,55231
2912,61464
2913,46098
2914,74060
2915,46260
2916,46199
2917,81686
2918,73801
2919,36797
2920,35837
2921,35837
2922,36963
2923,31927
2924,35634
2925,35194
2926,35881
2927,36976
2928,59278
2929,38766
2930,39585
2931,46896
2932,43817
2933,48229
2934,44759
2935,59740
2936,44576
2937,65973
2938,41180
2939,48673
2940,48585
2941,48477
2942,38578
2943,46504
2944,40160
2945,59370
2946,65304
2947,39939
2948,38523
2949,38254
2950,38987
2951,54780
2952,54780
2953,56920
2954,60855
2955,57277
2956,57160
2957,79989
2958,47940
2959,47752
2960,55769
2961,96027
2962,56458
2963,55547
2964,47269
2965,48331
2966,61077
2967,47269
2968,53504
2969,55170
2970,37977
2971,55871
2972,56285
2973,58736
2974,55781
2975,55997
2976,76774
2977,53154
2978,70595
2979,52094
2980,59279
2981,58515
2982,52094
2983,53100
2984,50216
2985,44666
2986,76105
2987,41683
2988,52142
2989,54993
2990,44057
2991,54993
2992,54993
2993,44057
2994,51742
2995,41717
2996,58644
2997,57641
2998,69361
2999,55746
3000,41052
3001,48708
3002,40691
3003,51074
3004,51644
3005,49538
3006,51063
3007,41865
3008,51711
3009,40395
3010,49538
3011,58017
3012,42039
3013,37983
3014,35442
3015,47732
3016,38173
3017,39662
3018,49360
3019,41111
3020,40858
3021,39207
3022,47738
3023,39708
3024,39805
3025,51892
3026,51403
3027,51304
3028,51330
3029,39752
3030,50160
3031,39752
3032,51051
3033,39752
3034,49907
3035,49195
3036,51051
3037,39135
3038,62372
3039,60510
3040,62232
3041,39429
3042,39429
3043,47152
3044,61319
3045,61986
3046,40403
3047,39920
3048,62372
3049,48700
3050,58116
3051,63751
3052,64055
3053,63177
3054,62658
3055,70187
3056,44343
3057,58807
3058,43817
3059,40926
3060,59079
3061,38470
3062,45027
3063,53459
3064,53003
3065,52770
3066,53003
3067,53003
3068,53514
3069,53459
3070,53003
3071,53514
3072,53459
3073,53459
3074,62867
3075,63884
3076,61905
3077,38233
3078,64974
3079,63831
3080,64763
3081,64461
3082,47525
3083,61557
3084,61557
3085,58399
3086,49937
3087,49981
3088,49792
3089,48709
3090,48466
3091,49097
3092,65686
3093,62674
3094,49387
3095,59948
3096,49764
3097,49843
3098,48714
3099,59800
3100,59440
3101,84201
3102,49961
3103,40935
3104,40951
3105,49357
3106,39992
3107,40683
3108,40935
3109,40948
3110,58994
3111,48780
3112,49236
3113,41077
3114,39895
3115,40951
3116,40201
3117,49534
3118,40935
3119,39120
3120,41051
3121,45955
3122,45528
3123,11426
3124,10664
3125,64736
3126,60798
3127,74761
3128,65037
3129,64842
3130,49004
3131,33212
3132,41020
3133,50763
3134,40513
3135,51055
3136,90825
3137,95756
3138,95756
3139,94313
3140,88621
3141,105901
3142,149461
3143,85674
3144,82855
3145,85800
3146,87446
3147,106168
3148,33415
3149,30636
3150,57477
3151,57072
3152,57581
3153,45117
3154,53248
3155,53750
3156,52340
3157,76791
3158,61180
3159,55676
3160,54912
3161,48965
3162,85212
3163,85212
3164,67729
3165,55486
3166,56774
3167,57861
3168,57597
3169,68644
3170,68644
3171,57861
3172,57222
3173,65257
3174,65650
3175,65631
3176,65479
3177,65734
3178,65349
3179,65707
3180,62129
3181,52142
3182,62984
3183,51813
3184,52608
3185,64893
3186,65355
3187,65840
3188,64951
3189,52338
3190,53226
3191,34923
3192,40269
3193,35726
3194,72073
3195,69850
3196,72456
3197,69850
3198,71147
3199,72513
3200,72456
3201,71147
3202,71147
3203,72073
3204,72456
3205,63993
3206,58143
3207,57905
3208,57499
3209,57487
3210,56495
3211,55377
3212,63779
3213,38165
3214,37800
3215,37100
3216,36060
3217,37992
3218,35897
3219,40036
3220,37842
3221,43215
3222,29124
3223,28878
3224,36789
3225,36218
3226,30152
3227,63202
3228,77365
3229,67356
3230,67649
3231,77365
3232,67333
3233,67333
3234,69388
3235,79430
3236,79442
3237,67218
3238,79080
3239,79213
3240,96537
3241,67305
3242,66486
3243,66486
3244,75075
3245,79080
3246,74753
3247,66486
3248,64260
3249,68336
3250,79391
3251,80574
3252,77764
3253,60885
3254,60885
3255,68403
3256,86270
3257,74151
3258,59494
3259,59552
3260,59317
3261,59460
3262,72449
3263,73576
3264,59494
3265,59284
3266,45503
3267,68156
3268,100689
3269,100689
3270,101519
3271,101649
3272,101649
3273,91570
3274,101661
3275,101898
3276,97406
3277,98639
3278,100225
3279,98639
3280,97406
3281,91570
3282,101076
3283,50693
3284,80940
3285,64717
3286,77612
3287,122345
3288,107082
3289,94957
3290,24646
3291,23551
3292,119566
3293,112532
3294,77075
3295,53372
3296,53074
3297,52783
3298,50774
3299,50177
3300,69859
3301,50792
3302,49925
3303,84987
3304,69425
3305,69229
3306,69005
3307,69420
3308,84965
3309,85928
3310,42122
3311,120069
3312,120072
3313,120069
3314,57968
3315,58110
3316,103205
3317,88705
3318,103611
3319,97731
3320,102855
3321,89602
3322,104507
3323,81908
3324,100651
3325,60409
3326,85722
3327,85882
3328,100470
3329,53122
3330,53124
3331,53219
3332,67247
3333,66936
3334,67393
3335,35572
3336,36700
3337,36504
3338,35742
3339,36820
3340,36700
3341,36821
3342,36798
3343,34995
3344,36070
3345,35953
3346,36700
3347,36509
3348,36089
3349,36821
3350,44173
3351,58280
3352,58169
3353,58401
3354,45742
3355,67725
3356,67603
3357,46850
3358,38439
3359,46180
3360,39786
3361,67550
3362,46603
3363,94984
3364,92874
3365,45742
3366,87607
3367,94508
3368,67276
3369,41825
3370,41851
3371,39824
3372,40849
3373,52002
3374,51021
3375,51547
3376,51314
3377,55003
3378,75908
3379,46783
3380,57403
3381,53792
3382,52729
3383,47172
3384,53026
3385,48428
3386,44488
3387,39554
3388,38755
3389,46653
3390,65590
3391,66947
3392,64911
3393,47084
3394,115478
3395,107397
3396,105670
3397,105670
3398,102798
3399,104987
3400,96801
3401,96801
3402,105251
3403,105670
3404,104925
3405,105528
3406,103697
3407,62929
3408,65308
3409,65462
3410,60876
3411,64879
3412,63835
3413,63284
3414,52140
3415,52224
3416,52106
3417,63557
3418,70982
3419,56206
3420,56030
3421,65189
3422,79913
3423,56069
3424,107140
3425,49512
3426,85899
3427,90086
3428,54611
3429,54823
3430,57576
3431,54611
3432,42974
3433,53006
3434,54835
3435,76675
3436,76825
3437,68301
3438,54036
3439,54729
3440,46896
3441,47890
3442,55551
3443,54036
3444,47890
3445,48689
3446,47765
3447,47733
3448,39756
3449,82481
3450,80604
3451,77682
3452,81624
3453,83047
3454,73079
3455,81793
3456,57616
3457,77744
3458,57692
3459,79286
3460,79598
3461,79190
3462,77291
3463,79598
3464,57692
3465,79244
3466,90899
3467,39656
3468,30843
3469,28103
3470,30099
3471,30099
3472,40018
3473,48170
3474,29516
3475,29166
3476,30843
3477,94898
3478,77686
3479,41047
3480,44353
3481,57588
3482,70963
3483,80198
3484,50086
3485,50086
3486,53851
3487,53735
3488,50086
3489,40128
3490,54067
3491,53605
3492,53576
3493,50800
3494,50960
3495,53540
3496,75028
3497,64261
3498,76412
3499,75691
3500,97062
3501,67961
3502,87611
3503,50990
3504,56813
3505,50464
3506,43663
3507,49263
3508,43759
3509,44093
3510,51540
3511,56928
3512,78792
3513,48029
3514,56928
3515,47674
3516,62772
3517,63051
3518,63277
3519,63277
3520,62874
3521,47674
3522,48113
3523,40087
3524,39891
3525,40642
3526,39527
3527,32504
3528,39788
3529,49556
3530,40108
3531,40108
3532,40642
3533,49014
3534,46542
3535,46542
3536,68425
3537,80020
3538,88444
3539,65547
3540,62691
3541,89970
3542,67718
3543,90084
3544,66884
3545,93566
3546,93394
3547,77743
3548,93370
3549,93556
3550,67016
3551,69887
3552,113398
3553,95337
3554,90931
3555,115869
3556,116529
3557,113607
3558,95727
3559,147624
3560,115990
3561,116732
3562,113398
3563,96005
3564,93283
3565,113269
3566,95495
3567,116340
3568,114187
3569,95810
3570,114647
3571,95585
3572,67240
3573,67100
3574,60135
3575,64313
3576,70558
3577,56510
3578,20854
3579,100171
3580,83356
3581,117999
3582,100318
3583,78664
3584,78664
3585,116827
3586,101188
3587,101236
3588,116908
3589,117999
3590,82699
3591,118126
3592,95336
3593,82927
3594,100318
3595,100318
3596,114813
3597,82894
3598,97883
3599,95963
3600,95609
3601,98949
3602,83699
3603,88668
3604,83919
3605,85524
3606,73858
3607,85524
3608,82779
3609,73858
3610,76699
3611,79040
3612,78829
3613,81719
3614,78140
3615,88978
3616,89082
3617,88403
3618,102097
3619,86847
3620,79332
3621,88268
3622,87664
3623,78579
3624,78534
3625,89127
3626,75858
3627,75111
3628,105570
3629,86280
3630,71307
3631,73476
3632,70882
3633,74412
3634,66744
3635,78161
3636,86506
3637,80910
3638,84420
3639,76438
3640,85778
3641,76438
3642,95492
3643,95142
3644,89845
3645,158212
3646,98544
3647,146976
3648,153941
3649,99119
3650,91956
3651,95867
3652,147209
3653,118223
3654,96814
3655,117758
3656,147209
3657,96814
3658,154451
3659,120700
3660,97259
3661,64439
3662,64439
3663,64439
3664,65184
3665,82703
3666,65666
3667,65666
3668,65666
3669,61899
3670,64276
3671,63333
3672,63873
3673,64655
3674,64655
3675,76078
3676,95575
3677,107304
3678,80596
3679,80699
3680,94568
3681,79526
3682,94568
3683,107041
3684,80884
3685,95847
3686,58438
3687,70768
3688,58454
3689,58324
3690,54511
3691,80319
3692,79952
3693,95209
3694,13611
3695,47394
3696,47539
3697,47425
3698,47688
3699,35207
3700,46661
3701,46561
3702,47328
3703,44353
3704,115852
3705,111753
3706,111753
3707,103104
3708,117124
3709,113359
3710,91666
3711,93712
3712,108806
3713,93712
3714,117266
3715,98557
3716,99015
3717,101649
3718,105739
3719,49123
3720,53263
3721,52093
3722,53683
3723,55328
3724,49123
3725,54438
3726,54578
3727,54578
3728,54750
3729,55328
3730,55328
3731,52769
3732,50449
3733,49123
3734,54778
3735,53683
3736,50449
3737,52769
3738,55917
3739,51910
3740,52464
3741,96932
3742,78690
3743,40612
3744,41428
3745,30494
3746,37270
3747,46845
3748,29541
3749,35831
3750,37771
3751,50837
3752,48436
3753,45747
3754,45545
3755,48130
3756,30407
3757,43304
3758,43304
3759,69784
3760,31167
3761,47898
3762,37870
3763,47195
3764,41970
3765,47195
3766,47195
3767,41970
3768,36935
3769,37478
3770,49307
3771,65296
3772,38220
3773,45439
3774,45200
3775,44520
3776,44447
3777,44848
3778,36148
3779,44877
3780,47629
3781,52502
3782,52502
3783,51413
3784,52303
3785,50578
3786,67390
3787,67178
3788,67195
3789,50727
3790,51946
3791,49448
3792,53169
3793,53569
3794,9395
3795,37261
3796,67860
3797,25666
3798,40538
3799,25579
3800,42342
3801,53402
3802,37488
3803,48435
3804,42516
3805,63803
3806,55924
3807,55860
3808,38960
3809,55034
3810,55034
3811,31883
3812,41433
3813,56042
3814,31982
3815,28600
3816,48822
3817,48747
3818,38407
3819,54691
3820,56588
3821,56131
3822,64534
3823,56482
3824,27748
3825,39642
3826,26914
3827,50949
3828,51592
3829,39546
3830,34334
3831,48351
3832,51013
3833,48260
3834,39429
3835,20228
3836,39429
3837,39683
3838,48580
3839,39925
3840,39683
3841,39921
3842,27398
3843,42539
3844,54185
3845,55153
3846,56164
3847,55153
3848,48013
3849,50303
3850,31732
3851,29481
3852,47830
3853,54341
3854,54344
3855,41981
3856,32259
3857,48665
3858,75279
3859,69442
3860,52535
3861,62416
3862,51117
3863,49421
3864,51236
3865,62416
3866,60683
3867,72537
3868,65365
3869,99092
3870,86067
3871,86067
3872,57373
3873,35381
3874,84987
3875,104587
3876,80949
3877,86187
3878,87515
3879,69427
3880,75542
3881,69237
3882,78335
3883,71441
3884,56236
3885,59207
3886,35572
3887,40182
3888,27280
3889,50154
3890,109190
3891,67122
3892,83282
3893,105853
3894,82997
3895,58119
3896,9893
3897,8060
3898,33964
3899,33964
3900,31740
3901,33368
3902,33964
3903,38463
3904,34438
3905,34221
3906,34221
3907,34066
3908,33964
3909,34786
3910,33077
3911,31740
3912,34221
3913,34249
3914,34477
3915,34962
3916,33964
3917,70747
3918,64649
3919,64099
3920,98013
3921,74460
3922,63702
3923,96000
3924,80292
3925,77824
3926,65239
3927,88555
3928,74779
3929,74779
3930,78887
3931,61896
3932,51150
3933,63017
3934,78916
3935,61778
3936,61778
3937,71079
3938,65066
3939,56688
3940,47423
3941,38773
3942,61886
3943,60657
3944,53919
3945,53852
3946,72635
3947,72677
3948,62730
3949,83207
3950,79885
3951,63667
3952,79089
3953,63143
3954,62730
3955,71831
3956,81347
3957,75574
3958,76741
3959,76450
3960,75370
3961,76624
3962,82136
3963,81753
3964,12031
3965,11821
3966,11270
3967,54162
3968,91726
3969,84574
3970,87215
3971,13839
3972,16542
3973,16154
3974,15359
3975,15485
3976,15755
3977,14631
3978,16251
3979,103858
3980,104294
3981,103477
3982,125489
3983,100654
3984,103551
3985,122899
3986,122321
3987,100543
3988,73040
3989,47646
3990,91032
3991,37043
3992,30568
3993,54342
3994,54113
3995,74077
3996,72890
3997,53584
3998,60698
3999,60698
4000,74293
4001,82061
4002,82061
4003,87491
4004,100117
4005,126118
4006,128898
4007,75145
4008,8884
4009,69054
4010,69250
4011,69136
4012,79765
4013,81634
4014,81291
4015,74970
4016,67030
4017,73782
4018,83944
4019,57935
4020,63812
4021,72996
4022,63812
4023,62467
4024,72891
4025,63512
4026,63251
4027,73023
4028,59077
4029,63186
4030,62769
4031,78564
4032,8132
4033,59031
4034,58515
4035,65023
4036,24289
4037,27022
4038,26816
4039,54596
4040,54633
4041,48842
4042,67056
4043,55353
4044,59674
4045,63493
4046,34673
4047,73990
4048,72841
4049,11614
4050,12593
4051,96564
4052,78695
4053,75799
4054,77750
4055,78275
4056,29574
4057,50205
4058,46033
4059,79047
4060,77509
4061,54714
4062,121933
4063,122990
4064,101902
4065,122990
4066,65051
4067,48425
4068,83311
4069,83311
4070,92042
4071,68642
4072,68459
4073,63204
4074,82770
4075,59119
4076,62594
4077,75813
4078,48995
4079,92291
4080,52847
4081,15260
4082,15369
4083,13733
4084,13859
4085,80254
4086,80829
4087,81457
4088,67454
4089,55276
4090,94311
4091,111930
4092,104441
4093,73772
4094,78898
4095,78980
4096,65149
4097,71711
4098,72106
4099,23171
4100,69895
4101,68640
4102,70604
4103,57411
4104,69565
4105,75848
4106,54331
4107,88241
4108,83055
4109,88241
4110,87269
4111,70938
4112,73737
4113,70692
4114,73737
4115,73026
4116,74263
4117,41572
4118,61372
4119,43031
4120,43229
4121,42423
4122,60038
4123,60866
4124,60934
4125,58876
4126,84200
4127,101640
4128,104359
4129,114615
4130,53671
4131,80480
4132,80127
4133,99325
4134,111179
4135,80040
4136,98998
4137,98831
4138,79944
4139,80127
4140,80499
4141,99728
4142,99342
4143,79916
4144,99787
4145,90999
4146,89977
4147,64948
4148,117658
4149,145168
4150,116881
4151,142449
4152,144227
4153,173056
4154,133707
4155,189477
4156,144266
4157,82413
4158,74457
4159,119903
4160,155039
4161,129686
4162,86290
4163,92819
4164,116822
4165,120440
4166,73652
4167,92707
4168,89911
4169,98295
4170,75008
4171,77526
4172,74474
4173,113741
4174,93730
4175,93845
4176,120191
4177,113319
4178,121739
4179,121739
4180,118589
4181,119264
4182,119820
4183,119820
4184,115990
4185,116299
4186,115990
4187,116703
4188,115300
4189,109103
4190,117065
4191,97081
4192,114018
4193,137425
4194,114018
4195,109103
4196,116703
4197,117016
4198,116073
4199,115154
4200,108127
4201,116425
4202,104346
4203,103195
4204,106136
4205,117436
4206,102507
4207,117890
4208,104557
4209,137662
4210,139053
4211,139540
4212,76103
4213,86557
4214,86456
4215,101351
4216,165871
4217,76352
4218,102580
4219,134984
4220,135861
4221,130859
4222,183446
4223,169632
4224,126217
4225,96661
4226,82110
4227,174331
4228,141279
4229,143705
4230,171673
4231,133069
4232,136175
4233,133069
4234,100896
4235,104515
4236,28771
4237,117340
4238,157806
4239,199824
4240,18027
4241,37644
4242,86275
4243,108379
4244,106321
4245,120413
4246,93585
4247,93585
4248,118271
4249,110618
4250,138851
4251,112652
4252,104329
4253,85838
4254,89590
4255,121931
4256,83863
4257,84306
4258,74026
4259,80451
4260,83645
4261,83910
4262,83645
4263,81590
4264,116630
4265,117053
4266,116850
4267,116850
4268,117045
4269,118536
4270,116741
4271,100104
4272,108439
4273,101578
4274,105873
4275,101870
4276,91279
4277,91545
4278,84429
4279,211861
4280,210372
4281,223570
4282,228299
4283,72901
4284,88513
4285,90941
4286,90815
4287,84673
4288,90815
4289,90319
4290,90480
4291,90480
4292,90447
4293,84673
4294,90044
4295,90523
4296,93083
4297,92533
4298,91678
4299,89180
4300,87165
4301,106780
4302,106737
4303,106780
4304,106392
4305,100228
4306,104498
4307,105554
4308,105554
4309,107743
4310,84180
4311,73292
4312,72138
4313,87967
4314,120020
4315,73860
4316,87967
4317,87131
4318,72138
4319,40320
4320,42071
4321,126211
4322,125646
4323,116182
4324,117148
4325,116581
4326,117047
4327,119467
4328,92735
4329,94289
4330,142795
4331,144850
4332,118832
4333,144034
4334,117694
4335,143182
4336,70518
4337,157404
4338,157384
4339,184586
4340,158379
4341,157245
4342,176294
4343,57042
4344,57408
4345,79047
4346,79689
4347,91798
4348,17357
4349,16013
4350,16165
4351,80669
4352,112345
4353,112345
4354,106659
4355,73313
4356,109536
4357,110307
4358,95033
4359,78110
4360,109247
4361,93785
4362,78245
4363,106316
4364,108239
4365,78110
4366,109134
4367,107922
4368,185481
4369,184332
4370,96823
4371,121077
4372,92828
4373,92460
4374,93988
4375,116363
4376,113662
4377,113406
4378,113406
4379,12484
4380,86918
4381,75241
4382,76394
4383,76101
4384,76278
4385,87828
4386,11952
4387,76134
4388,79724
4389,107795
4390,106662
4391,109348
4392,117289
4393,113136
4394,105746
4395,90992
4396,105746
4397,99305
4398,69563
4399,83325
4400,92876
4401,96617
4402,69973
4403,57526
4404,72485
4405,66443
4406,101014
4407,100471
4408,101766
4409,71728
4410,89254
4411,123290
4412,89622
4413,85591
4414,112972
4415,113804
4416,91586
4417,138282
4418,69379
4419,83885
4420,150461
4421,57827
4422,106756
4423,117252
4424,85629
4425,136633
4426,96734
4427,76135
4428,76522
4429,122535
4430,124151
4431,110252
4432,62308
4433,16452
4434,15492
4435,70699
4436,92694
4437,101132
4438,126473
4439,109361
4440,70848
4441,49129
4442,131894
4443,103636
4444,91005
4445,132481
4446,59909
4447,86348
4448,58041
4449,77257
4450,139988
4451,137544
4452,113265
4453,137549
4454,110833
4455,110833
4456,139002
4457,139002
4458,52154
4459,102997
4460,102997
4461,103020
4462,54030
4463,101933
4464,132665
4465,132557
4466,130531
4467,132797
4468,128176
4469,73190
4470,78217
4471,76226
4472,74341
4473,95606
4474,85372
4475,113573
4476,73909
4477,108335
4478,147855
4479,81817
4480,80538
4481,14795
4482,13889
4483,13352
4484,14219
4485,94294
4486,93642
4487,107342
4488,12928
4489,13265
4490,13340
4491,97392
4492,95415
4493,116481
4494,94763
4495,111009
4496,77744
4497,77744
4498,77744
4499,97809
4500,97911
4501,97275
4502,97273
4503,34716
4504,96616
4505,99369
4506,99472
4507,99421
4508,99034
4509,97597
4510,96681
4511,99558
4512,98356
4513,121194
4514,78388
4515,80310
4516,81006
4517,126486
4518,123113
4519,125987
4520,123404
4521,143948
4522,119735
4523,119735
4524,151475
4525,153864
4526,89160
4527,107964
4528,122840
4529,120296
4530,66035
4531,69763
4532,73107
4533,72983
4534,73116
4535,87970
4536,96176
4537,72880
4538,148695
4539,112359
4540,88799
4541,90648
4542,91230
4543,47913
4544,111172
4545,95654
4546,84087
4547,121305
4548,98681
4549,126329
4550,121788
4551,83016
4552,84345
4553,120671
4554,84087
4555,87834
4556,87100
4557,85410
4558,84626
4559,87170
4560,82404
4561,87436
4562,87834
4563,85410
4564,87623
4565,87033
4566,122165
4567,164299
4568,159741
4569,160154
4570,154939
4571,160917
4572,167369
4573,190278
4574,159879
4575,190278
4576,163822
4577,83151
4578,208205
4579,146225
4580,107495
4581,170541
4582,118039
4583,138639
4584,127162
4585,137378
4586,136548
4587,138149
4588,101707
4589,125718
4590,129711
4591,129278
4592,110192
4593,128692
4594,123332
4595,123002
4596,167710
4597,146892
4598,121305
4599,120197
4600,145797
4601,173792
4602,170280
4603,155131
4604,150838
4605,155312
4606,112609
4607,110074
4608,111788
4609,114754
4610,113890
4611,110074
4612,174737
4613,124593
4614,122960
4615,150047
4616,124593
4617,124593
4618,150018
4619,123891
4620,123167
4621,148422
4622,115993
4623,111150
4624,124541
4625,28460
4626,30629
4627,24538
4628,85349
4629,103538
4630,131923
4631,102987
4632,162095
4633,132963
4634,102851
4635,102987
4636,104549
4637,162169
4638,132264
4639,133474
4640,133936
4641,167556
4642,135534
4643,166794
4644,171589
4645,171589
4646,131621
4647,134723
4648,163344
4649,83875
4650,93272
4651,96105
4652,78692
4653,83807
4654,82673
4655,109305
4656,107358
4657,127083
4658,128532
4659,122527
4660,129765
4661,117899
4662,118065
4663,157718
4664,117981
4665,118319
4666,87795
4667,146096
4668,146220
4669,106578
4670,87426
4671,52931
4672,71688
4673,107599
4674,49500
4675,52894
4676,88992
4677,51629
4678,174562
4679,51711
4680,102428
4681,19633
4682,91215
4683,86810
4684,127248
4685,126212
4686,158340
4687,37533
4688,38241
4689,65668
4690,76001
4691,57910
4692,60958
4693,52479
4694,75520
4695,35231
4696,83723
4697,57223
4698,206328
4699,144306
4700,150098
4701,122933
4702,148924
4703,150734
4704,97418
4705,96971
4706,57236
4707,29008
4708,29393
4709,29238
4710,30299
4711,97967
4712,35902
4713,80626
4714,78497
4715,75193
4716,125219
4717,195777
4718,110945
4719,110323
4720,133641
4721,133641
4722,111201
4723,131488
4724,111201
4725,131281
4726,110323
4727,132578
4728,152523
4729,92783
4730,93386
4731,123934
4732,121768
4733,95463
4734,106871
4735,180335
4736,205406
4737,76191
4738,63548
4739,94863
4740,95864
4741,172862
4742,130411
4743,131139
4744,128296
4745,161037
4746,172866
4747,166564
4748,163675
4749,135242
4750,132273
4751,24697
4752,135172
4753,134086
4754,120746
4755,121717
4756,168777
4757,135914
4758,169948
4759,129757
4760,137542
4761,133281
4762,135914
4763,135659
4764,135139
4765,131259
4766,132542
4767,133510
4768,204528
4769,188302
4770,188302
4771,204661
4772,166848
4773,204661
4774,168296
4775,199883
4776,135537
4777,170179
4778,135805
4779,128302
4780,134953
4781,135798
4782,166540
4783,106262
4784,104842
4785,91021
4786,91575
4787,155937
4788,155662
4789,157225
4790,141434
4791,153434
4792,124322
4793,153434
4794,157241
4795,112922
4796,139888
4797,177226
4798,144316
4799,174987
4800,174987
4801,145555
4802,178824
4803,180011
4804,143031
4805,174590
4806,177045
4807,140326
4808,140489
4809,142702
4810,142702
4811,142909
4812,138557
4813,175078
4814,141256
4815,141370
4816,172070
4817,144807
4818,122107
4819,100047
4820,135297
4821,99668
4822,168944
4823,146821
4824,146219
4825,181979
4826,82656
4827,77769
4828,76090
4829,67677
4830,88113
